Latitude,Longitude,Temperatura,Umidade,Data,Hora
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:51
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:44:56
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:01
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:06
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:11
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:16
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:21
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:26
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:31
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:36
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:41
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:46
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:51
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:45:56
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:01
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:06
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:11
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:16
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:21
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:26
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:31
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:36
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:41
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:46
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:51
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:46:56
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:01
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:06
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:11
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:16
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:21
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:26
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:31
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:36
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:41
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:46
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:51
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:47:56
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:48:01
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:48:07
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:48:12
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:48:17
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:48:22
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:48:27
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:48:32
